PRODUCT NAME,PRODUCT URLS,PRODUCT PRICE,PRODUCT RATING,REVIEW COUNT
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-1,"1,249.",4.0 out of 5 stars,"2,31"
Skybags Brat Black 46 Cms Casual Backpack,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-2,"1,199.",4.1 out of 5 stars,",77"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-3,"1,249.",4.3 out of 5 stars,",81"
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-4,"1,199",4.0 out of 5 stars,7
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-5,659,3.9 out of 5 stars,",30"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-6,565,3.8 out of 5 stars,6
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-7,"1,600",3.9 out of 5 stars,"5,25"
"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)",https://amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-8,949,4.3 out of 5 stars,"0,13"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),https://amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-9,499,4.0 out of 5 stars,"8,01"
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679428396&sprefix=ba%2Caps%2C358&sr=8-10,689,3.7 out of 5 stars,",05"
